trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': -1.1000000000000008}",25,0,-200.55156648008892,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': -1.1500000000000008}",20,14,-3.8240935790492236,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': -1.2000000000000008}",20,0,-100.5271757119787,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': -1.2500000000000009}",30,0,-236.01301149416156,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
46,False,"{'a': 0.5, 'e': -1.300000000000001}",20,0,-144.65387674575265,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': -1.350000000000001}",20,0,-177.84572396906196,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
48,False,"{'a': 0.5, 'e': -1.400000000000001}",25,0,-187.13175638370407,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': -1.450000000000001}",25,0,-105.52765699246525,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': -1.500000000000001}",30,0,-85.49393165470524,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': -1.5500000000000012}",20,0,-116.78828741097816,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': -1.6000000000000012}",25,11,-42.78594843245707,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': -1.6500000000000012}",20,0,-72.00478211521619,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': -1.7000000000000013}",20,0,-54.37094351818563,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': -1.7500000000000013}",25,0,-96.12591086369127,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': -1.8000000000000014}",20,0,-80.6536218854512,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': -1.8500000000000014}",20,0,-26.614975423880622,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': -1.9000000000000015}",25,0,-136.39565039050302,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': -1.9500000000000015}",20,0,-162.8331578970799,"{0: 8, 1: 5, 2: 1, 3: 5, 4: 1}",0
60,False,"{'a': 0.5, 'e': -2.0000000000000013}",20,0,-95.65005011987286,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': -2.050000000000001}",30,0,-82.39329534962604,"{0: 16, 1: 7, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': -2.100000000000001}",25,0,-68.76596921534805,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': -2.150000000000001}",20,0,-129.53636245174917,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': -2.2000000000000006}",20,0,-144.44573846784607,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': -2.2500000000000004}",25,0,-108.54934394366835,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': -2.3000000000000003}",20,0,-104.22694469504505,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': -2.35}",30,10,-122.21522093947488,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': -2.4}",20,0,-39.43410951978422,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': -2.4499999999999997}",30,16,-71.09834802662361,"{0: 7, 1: 1, 2: 4, 3: 2, 4: 0}",1
